# OurAirports airports.csv, filtered and vendored. Nothing here is typed by hand.
#
# Source     https://davidmegginson.github.io/ourairports-data/airports.csv
# Licence    Public domain (OurAirports releases its data into the public domain)
# Retrieved  2026-09-20
# Filter     iso_country = IN, iata_code non-empty, scheduled_service = yes
# Rows       116
# Columns    kept verbatim from the source, unused source columns dropped
#
# Refreshing this file: re-run the filter above against a fresh download. Do not
# edit rows in place. A correction belongs upstream in OurAirports, so the next
# refresh does not silently undo it.
#
# Lines beginning with # are skipped by the loader. Everything after is RFC 4180.
"ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","wikipedia_link"
"IN-0276","large_airport","Navi Mumbai International Airport","18.984597","73.065253","184","AS","IN","IN-MM","Navi Mumbai","yes","VANM","NMI","https://en.wikipedia.org/wiki/Navi_Mumbai_International_Airport"
"VEBU","medium_airport","Bilaspur Airport","21.9884","82.111","899","AS","IN","IN-CT","Bilaspur","yes","VEBU","PAB","https://en.wikipedia.org/wiki/Bilaspur_Airport"
"VEPT","medium_airport","Jay Prakash Narayan Airport","25.591299","85.087997","170","AS","IN","IN-BR","Patna","yes","VEPT","PAT","https://en.wikipedia.org/wiki/Jay_Prakash_Narayan_Airport"
"VAPR","medium_airport","Porbandar Airport","21.649524","69.656405","23","AS","IN","IN-GJ","Porbandar","yes","VAPR","PBD","https://en.wikipedia.org/wiki/Porbandar_Airport"
"VIPT","medium_airport","Pantnagar Airport","29.0334","79.473701","769","AS","IN","IN-UP","Pantnagar","yes","VIPT","PGH","https://en.wikipedia.org/wiki/Pantnagar_Airport"
"VAPO","large_airport","Pune International Airport","18.5821","73.919701","1942","AS","IN","IN-MM","Pune","yes","VAPO","PNQ","https://en.wikipedia.org/wiki/Pune_Airport"
"VOPC","medium_airport","Pondicherry Airport","11.968","79.812","134","AS","IN","IN-PY","Puducherry (Pondicherry)","yes","VOPC","PNY","https://en.wikipedia.org/wiki/Pondicherry_Airport"
"VEDG","medium_airport","Kazi Nazrul Islam Airport","23.6225","87.243","300","AS","IN","IN-WB","Durgapur","yes","VEDG","RDP","https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam_Airport"
"VA1G","medium_airport","Rewa Airport, Chorhata, REWA","24.503401","81.220299","1000","AS","IN","IN-MP","Rewa","yes","VERW","REW","https://en.wikipedia.org/wiki/Rewa_Airport"
"VORY","medium_airport","Rajahmundry Airport","17.105799","81.813204","151","AS","IN","IN-AP","Madhurapudi","yes","VORY","RJA","https://en.wikipedia.org/wiki/Rajahmundry_Airport"
"VARP","medium_airport","Swami Vivekananda Airport","21.180401","81.7388","1041","AS","IN","IN-CT","Raipur","yes","VERP","RPR","https://en.wikipedia.org/wiki/Swami_Vivekananda_Airport"
"VASD","large_airport","Shirdi International Airport","19.689211","74.373655","1926","AS","IN","IN-MM","Kakadi","yes","VASD","SAG","https://en.wikipedia.org/wiki/Shirdi_Airport"
"IN-0107","medium_airport","Sindhudurg Airport","16.002552","73.529846","203","AS","IN","IN-MM","Chipi","yes","VOSR","SDW","https://en.wikipedia.org/wiki/Sindhudurg_Airport"
"VEBI","medium_airport","Shillong Airport","25.70359992980957","91.97869873046875","2910","AS","IN","IN-ML","Shillong","yes","VEBI","SHL","https://en.wikipedia.org/wiki/Shillong_Airport"
"VASU","large_airport","Surat International Airport","21.115531","72.743251","16","AS","IN","IN-GJ","Surat","yes","VASU","STV","https://en.wikipedia.org/wiki/Surat_Airport"
"VISR","large_airport","Srinagar International Airport","33.987099","74.7742","5429","AS","IN","IN-JK","Srinagar","yes","VISR","SXR","https://en.wikipedia.org/wiki/Srinagar_Airport"
"VOTK","small_airport","Tuticorin Airport","8.724241","78.025803","129","AS","IN","IN-TN","Vagaikulam","yes","VOTK","TCR","https://en.wikipedia.org/wiki/Tuticorin_Airport"
"VETZ","medium_airport","Tezpur Airport","26.7091007232666","92.78469848632812","240","AS","IN","IN-AS","","yes","VETZ","TEZ","https://en.wikipedia.org/wiki/Tezpur_Airport"
"VOTP","large_airport","Tirupati International Airport","13.631988","79.539869","350","AS","IN","IN-AP","Tirupati","yes","VOTP","TIR","https://en.wikipedia.org/wiki/Tirupati_Airport"
"VOTV","large_airport","Thiruvananthapuram International Airport","8.481889","76.920029","15","AS","IN","IN-KL","Thiruvananthapuram","yes","VOTV","TRV","https://en.wikipedia.org/wiki/Trivandrum_International_Airport"
"VOTR","large_airport","Tiruchirappalli International Airport","10.762915","78.717741","288","AS","IN","IN-TN","Tiruchirappalli","yes","VOTR","TRZ","https://en.wikipedia.org/wiki/Tiruchirappalli_International_Airport"
"VAUD","medium_airport","Maharana Pratap Airport","24.617700576799997","73.89610290530001","1684","AS","IN","IN-RJ","Udaipur","yes","VAUD","UDR","https://en.wikipedia.org/wiki/Udaipur_Airport"
"VEUK","medium_airport","Utkela Airport","20.097778","83.183333","685","AS","IN","IN-OR","Bhawanipatna","yes","VEUK","UKE","https://en.wikipedia.org/wiki/Utkela_Airport"
"VOBZ","large_airport","Vijayawada International Airport","16.530011","80.804888","82","AS","IN","IN-AP","Vijayawada","yes","VOBZ","VGA","https://en.wikipedia.org/wiki/Vijayawada_Airport"
"VEBN","large_airport","Lal Bahadur Shastri International Airport","25.452171","82.862549","266","AS","IN","IN-UP","Varanasi","yes","VEBN","VNS","https://en.wikipedia.org/wiki/Lal_Bahadur_Shastri_Airport"
"VISV","small_airport","Shravasti Airport","27.499732","82.032927","366","AS","IN","IN-UP","Shravasti","yes","VISV","VSV","https://en.wikipedia.org/wiki/Shravasti_Airport"
"VOVI","large_airport","Alluri Sitarama Raju International Airport (Vizag)","17.971512","83.503617","188","AS","IN","IN-AP","Visakhapatnam","yes","VOVI","VTZ","https://en.wikipedia.org/wiki/Alluri_Sitarama_Raju_International_Airport"
